UniProt Accession	Ensembl Gene ID	Gene Symbol	
P55316	ENSG00000176165	FOXG1	
Q8NC60	ENSG00000084092	NOA1	
Q9BRL6	ENSG00000263465	SRSF8	
Q8NGK3	ENSG00000181963	OR52K2	
O95721	ENSG00000099940	SNAP29	
P43268	ENSG00000175832	ETV4	
P52630	ENSG00000170581	STAT2	
Q96MZ4	ENSG00000250486	FAM218A	
Q96QU8	ENSG00000169180	XPO6	
Q96BN6	ENSG00000138286	FAM149B1	
Q96A28	ENSG00000162723	SLAMF9	
P04233	ENSG00000019582	CD74	
O43324	ENSG00000124802	EEF1E1	
Q8NFJ8	ENSG00000180828	BHLHE22	
Q07011	ENSG00000049249	TNFRSF9	
O95747	ENSG00000172939	OXSR1	
P57087	ENSG00000154721	JAM2	
Q3ZCT1	ENSG00000254004	ZNF260	
A0A1B0GV85	ENSG00000250673	REELD1	
Q8N4S7	ENSG00000162073	PAQR4	
P42568	ENSG00000171843	MLLT3	
Q9NSC5	ENSG00000051128	HOMER3	
Q8IYB8	ENSG00000156502	SUPV3L1	
Q9UND3	ENSG00000254852; ENSG00000183426; ENSG00000281994	NPIPA1	
Q96PV0	ENSG00000197283; ENSG00000227460	SYNGAP1	
Q86T96	ENSG00000164197	RNF180	
Q96LT7	ENSG00000147894	C9orf72	
P02786	ENSG00000072274	TFRC	
Q01543	ENSG00000151702	FLI1	
Q9UBK8	ENSG00000124275	MTRR	
P35754	ENSG00000173221	GLRX	
O75063	ENSG00000116199	FAM20B	
Q9Y585	ENSG00000172150	OR1A2	
P49841	ENSG00000082701	GSK3B	
O77932	ENSG00000204348; ENSG00000236765; ENSG00000225682; ENSG00000206346; ENSG00000224313; ENSG00000234798	DXO	
O95905	ENSG00000122882	ECD	
P62841	ENSG00000115268	RPS15	
Q9NPI9	ENSG00000153822	KCNJ16	
Q9UFN0	ENSG00000136783	NIPSNAP3A	
Q03431	ENSG00000160801	PTH1R	
Q9Y6K8	ENSG00000154027	AK5	
Q8NHB1	ENSG00000185372	OR2V1	
Q9Y467	ENSG00000165821	SALL2	
Q3MIR4	ENSG00000182107	TMEM30B	
Q13352	ENSG00000142856	ITGB3BP	
Q9Y241	ENSG00000181061	HIGD1A	
O95222	ENSG00000184933	OR6A2	
P35236	ENSG00000143851	PTPN7	
Q16134	ENSG00000171503	ETFDH	
Q969M3	ENSG00000145817	YIPF5	
Q9Y4E8	ENSG00000135655	USP15	
A6NDE8	ENSG00000224902	GAGE12H	
Q96D53	ENSG00000123815	COQ8B	
P49848	ENSG00000106290	TAF6	
Q9Y2K7	ENSG00000173120	KDM2A	
P03901	ENSG00000212907	MT-ND4L	
Q8NHC6	-	OR14L1P	
Q9H3S3	ENSG00000166682	TMPRSS5	
Q14032	ENSG00000136881; ENSG00000276559	BAAT	
A0A0A6YYK7	-	TRAV19	
O95214	ENSG00000104660	LEPROTL1	
Q9NP60	ENSG00000189108	IL1RAPL2	
A6NM03	ENSG00000188124	OR2AG2	
Q15173	ENSG00000068971	PPP2R5B	
Q86W28	ENSG00000179709	NLRP8	
Q04771	ENSG00000115170	ACVR1	
Q99457	ENSG00000186310	NAP1L3	
Q6UXV4	ENSG00000155008	APOOL	
O14668	ENSG00000130962	PRRG1	
A0A0U1RRK4	ENSG00000283071	LBHD2	
Q16774	ENSG00000143774	GUK1	
Q8ND94	ENSG00000177363	LRRN4CL	
P01742	-	IGHV1-69	
Q8TET4	ENSG00000214013	GANC	
Q9H246	ENSG00000116667	C1orf21	
Q9H9L7	ENSG00000174574	AKIRIN1	
Q9Y2J4	ENSG00000114019	AMOTL2	
P50406	ENSG00000158748	HTR6	
Q9UN76	ENSG00000268104	SLC6A14	
Q9UKE5	ENSG00000154310	TNIK	
Q9NQW5	ENSG00000126856	PRDM7	
Q8NCW0	ENSG00000131650	KREMEN2	
Q8N6U8	ENSG00000143147	GPR161	
Q99798	ENSG00000100412	ACO2	
Q9H930	ENSG00000185404	SP140L	
Q9H7C9	ENSG00000087884	AAMDC	
Q9NSJ1	-	ZNF355P	
Q86YD7	ENSG00000171847	FAM90A1	
Q5VVH5	ENSG00000146243	IRAK1BP1	
F5H4B4	ENSG00000184949	FAM227A	
P49716	ENSG00000221869	CEBPD	
Q5VZ52	ENSG00000185681	MORN5	
P32247	ENSG00000102239	BRS3	
Q6P474	-	PDXDC2P	
P19827	ENSG00000055957	ITIH1	
P54727	ENSG00000119318	RAD23B	
P08779	ENSG00000186832	KRT16	
P42261	ENSG00000155511	GRIA1	
Q9HBY8	ENSG00000101049	SGK2	
Q12766	ENSG00000113716	HMGXB3	
Q9NVH2	ENSG00000143493	INTS7	
O00212	ENSG00000173156	RHOD	
Q3KRA9	ENSG00000239382	ALKBH6	
Q96AQ8	ENSG00000050393	MCUR1	
P15172	ENSG00000129152	MYOD1	
P51843	ENSG00000169297	NR0B1	
Q8WWN9	ENSG00000074706	IPCEF1	
P22670	ENSG00000132005	RFX1	
P82932	ENSG00000243927	MRPS6	
P49454	ENSG00000117724	CENPF	
P56817	ENSG00000186318	BACE1	
Q99595	ENSG00000134375	TIMM17A	
Q9BY50	ENSG00000166562	SEC11C	
Q14141	ENSG00000125354	SEPT6	
Q9Y5F7	ENSG00000242419	PCDHGC4	
Q9NYW7	ENSG00000169777	TAS2R1	
Q8NGS4	ENSG00000186881	OR13F1	
Q8N1N0	ENSG00000152672	CLEC4F	
Q8NGH3	ENSG00000178358	OR2D3	
Q9H340	ENSG00000176239	OR51B6	
Q9BZV1	ENSG00000167671	UBXN6	
Q96G79	ENSG00000176087	SLC35A4	
O14863	ENSG00000104154	SLC30A4	
Q9UFE4	ENSG00000284862	CCDC39	
P16444	ENSG00000015413	DPEP1	
Q8TAB3	ENSG00000165194	PCDH19	
Q15382	ENSG00000106615	RHEB	
P11049	ENSG00000104894	CD37	
Q9NUB1	ENSG00000154930	ACSS1	
Q0D2K2	ENSG00000168427	KLHL30	
Q9H091	ENSG00000141497	ZMYND15	
Q5VTH9	ENSG00000152763	WDR78	
Q96CW5	ENSG00000282003; ENSG00000126216	TUBGCP3	
O43247	ENSG00000185264	TEX33	
Q9BWV2	ENSG00000145757	SPATA9	
Q6UWF3	ENSG00000161929	SCIMP	
Q6PGN9	ENSG00000134222	PSRC1	
Q8NFJ5	ENSG00000013588	GPRC5A	
A6NCQ9	ENSG00000189051	RNF222	
Q9Y278	ENSG00000122254	HS3ST2	
Q96PV7	ENSG00000146067	FAM193B	
P52747	ENSG00000166478	ZNF143	
Q6ZVD8	ENSG00000040199	PHLPP2	
Q8NFP0	ENSG00000179165	PXT1	
Q96MT3	ENSG00000139174	PRICKLE1	
Q695T7	ENSG00000174358	SLC6A19	
Q12887	ENSG00000006695	COX10	
P01850	-	TRBC1	
Q3KP22	ENSG00000168070	MAJIN	
Q53FE4	ENSG00000138813	C4orf17	
Q9Y5K8	ENSG00000100554	ATP6V1D	
Q96G74	ENSG00000068308	OTUD5	
Q92673	ENSG00000137642	SORL1	
B4DXR9	ENSG00000186777	ZNF732	
Q9UMR5	ENSG00000228116; ENSG00000221988; ENSG00000236649; ENSG00000206329; ENSG00000231618; ENSG00000206256; ENSG00000168452; ENSG00000227600	PPT2	
Q5JT25	ENSG00000147127	RAB41	
Q8IYS5	ENSG00000274703; ENSG00000278533; ENSG00000275736; ENSG00000278378; ENSG00000275644; ENSG00000170909; ENSG00000277088; ENSG00000276982; ENSG00000273511; ENSG00000275551	OSCAR	
Q8NFA0	ENSG00000170832	USP32	
Q86VW2	ENSG00000240771	ARHGEF25	
Q05397	ENSG00000169398	PTK2	
Q99525	ENSG00000275663	HIST1H4G	
P61604	ENSG00000115541	HSPE1	
Q9HCJ6	ENSG00000171724	VAT1L	
O75022	ENSG00000275019; ENSG00000277816; ENSG00000204577; ENSG00000274587	LILRB3	
Q5U3C3	ENSG00000157600	TMEM164	
P28907	ENSG00000004468	CD38	
Q6UW78	ENSG00000204922	UQCC3	
O75382	ENSG00000110171	TRIM3	
Q93063	ENSG00000151348	EXT2	
Q8N2K0	ENSG00000100997	ABHD12	
O15068	ENSG00000126217	MCF2L	
Q15034	ENSG00000138641	HERC3	
Q9P0P0	ENSG00000168894	RNF181	
Q86Y01	ENSG00000135144	DTX1	
O43765	ENSG00000104969	SGTA	
Q96SZ5	ENSG00000181915	ADO	
O43482	ENSG00000104147	OIP5	
Q6AZZ1	ENSG00000167333	TRIM68	
Q8N2F6	ENSG00000282813; ENSG00000170632	ARMC10	
Q8TEK3	ENSG00000104885	DOT1L	
P28067	ENSG00000243719; ENSG00000241394; ENSG00000243215; ENSG00000242685; ENSG00000242361; ENSG00000204257; ENSG00000239463; ENSG00000243189	HLA-DMA	
Q08357	ENSG00000168575	SLC20A2	
Q8IVG5	ENSG00000177409	SAMD9L	
Q12950	ENSG00000170122	FOXD4	
Q96K37	ENSG00000127526	SLC35E1	
Q86UP3	ENSG00000091656	ZFHX4	
Q5T754	ENSG00000240386	LCE1F	
Q2TBF2	ENSG00000075035	WSCD2	
P25106	ENSG00000144476	ACKR3	
A1KXE4	ENSG00000152102	FAM168B	
Q7Z4N8	ENSG00000149380	P4HA3	
P52657	ENSG00000140307	GTF2A2	
Q8NAA4	ENSG00000168010	ATG16L2	
P35249	ENSG00000163918	RFC4	
Q9BQY9	ENSG00000244274	DBNDD2	
Q6VUC0	ENSG00000116819	TFAP2E	
Q9BZ95	ENSG00000147548	NSD3	
P21741	ENSG00000110492	MDK	
Q8IYV9	ENSG00000182264	IZUMO1	
P41223	ENSG00000106245	BUD31	
Q96CN4	ENSG00000142459	EVI5L	
Q96NF6	ENSG00000255394; ENSG00000285217	C8orf49	
O95486	ENSG00000113615	SEC24A	
A6NFU8	ENSG00000183571	PGPEP1L	
Q86SJ6	ENSG00000175065	DSG4	
Q495W5	ENSG00000196968	FUT11	
A5X5Y0	ENSG00000186038	HTR3E	
Q96AY4	ENSG00000100154	TTC28	
Q96GE9	ENSG00000137038	DMAC1	
P61160	ENSG00000138071	ACTR2	
Q9H598	ENSG00000101438	SLC32A1	
P78545	ENSG00000163435	ELF3	
Q8N5V2	ENSG00000066248	NGEF	
P49863	ENSG00000113088	GZMK	
Q8N4G2	ENSG00000179674	ARL14	
Q9BYV7	ENSG00000197580	BCO2	
P04196	ENSG00000113905	HRG	
Q14525	ENSG00000131738; ENSG00000263012	KRT33B	
O60729	ENSG00000081377	CDC14B	
Q17RY0	ENSG00000113742	CPEB4	
P48506	ENSG00000001084	GCLC	
A6H8Y1	ENSG00000145734; ENSG00000273873; ENSG00000274803	BDP1	
Q99952	ENSG00000072135	PTPN18	
Q9NQ32	ENSG00000176029	C11orf16	
Q92610	ENSG00000166716	ZNF592	
Q8NGE2	ENSG00000179615	OR2AP1	
Q96FE5	ENSG00000169783	LINGO1	
O75899	ENSG00000136928	GABBR2	
Q2TAA5	ENSG00000253710	ALG11	
P78552	ENSG00000131724	IL13RA1	
P17027	ENSG00000167377	ZNF23	
Q96CD0	ENSG00000135722	FBXL8	
P27918	ENSG00000126759	CFP	
Q8NFH5	ENSG00000163002	NUP35	
P58340	ENSG00000178053	MLF1	
Q96LT6	ENSG00000162757	C1orf74	
P51153	ENSG00000143545	RAB13	
Q8TF08	ENSG00000170516	COX7B2	
Q9Y6E7	ENSG00000089163	SIRT4	
P33402	ENSG00000152402	GUCY1A2	
P04278	ENSG00000129214	SHBG	
Q8TEJ3	ENSG00000172985	SH3RF3	
Q6NT76	ENSG00000147421	HMBOX1	
P80192	ENSG00000006432	MAP3K9	
Q15773	ENSG00000089693	MLF2	
A7XYQ1	ENSG00000112320	SOBP	
Q13261	ENSG00000134470	IL15RA	
P08123	ENSG00000164692	COL1A2	
Q16851	ENSG00000169764	UGP2	
O15551	ENSG00000165215	CLDN3	
Q5DT21	ENSG00000204909	SPINK9	
A6NL99	-	AQP7P3	
Q8IV48	ENSG00000104626	ERI1	
Q9H0C5	ENSG00000064726	BTBD1	
Q9H7X0	ENSG00000122390	NAA60	
Q8NFY9	ENSG00000163376	KBTBD8	
P09958	ENSG00000140564	FURIN	
P09919	ENSG00000108342	CSF3	
A0A0C4DH69	-	IGKV1-9	
Q969X5	ENSG00000113719	ERGIC1	
C9J6K1	ENSG00000235034	C19orf81	
O95155	ENSG00000130939	UBE4B	
Q6UXV0	ENSG00000187871	GFRAL	
P05067	ENSG00000142192	APP	
Q9Y2B0	ENSG00000257727	CNPY2	
P21854	ENSG00000137101	CD72	
P45381	ENSG00000108381	ASPA	
Q15831	ENSG00000118046	STK11	
P09874	ENSG00000143799	PARP1	
Q53HL2	ENSG00000134690	CDCA8	
O00629	ENSG00000186432	KPNA4	
A0A0B4J1Y9	-	IGHV3-72	
Q8TAG6	ENSG00000169085	VXN	
Q96AG3	ENSG00000164209	SLC25A46	
O00165	ENSG00000143575	HAX1	
Q9BZJ6	ENSG00000112218	GPR63	
Q9H0N5	ENSG00000132570	PCBD2	
Q5TA31	ENSG00000168159; ENSG00000285426	RNF187	
P36954	ENSG00000105258	POLR2I	
P83876	ENSG00000141759	TXNL4A	
A0A0A0MTA7	-	TRBJ2-1	
Q9ULB4	ENSG00000113100	CDH9	
Q8TDE3	ENSG00000173431	RNASE8	
Q15389	ENSG00000154188	ANGPT1	
Q15532	ENSG00000141380	SS18	
Q05D32	ENSG00000137770	CTDSPL2	
P10721	ENSG00000157404	KIT	
P35555	ENSG00000166147	FBN1	
Q8N8P7	ENSG00000175728	C11orf44	
O15321	ENSG00000285465; ENSG00000100926	TM9SF1	
P56211	ENSG00000128989	ARPP19	
O60565	ENSG00000276886; ENSG00000282046; ENSG00000166923	GREM1	
P15735	ENSG00000156873	PHKG2	
Q7Z5D8	ENSG00000205857	NANOGNB	
O75533	ENSG00000115524	SF3B1	
Q66K79	ENSG00000109625	CPZ	
Q6ZSZ5	ENSG00000268861; ENSG00000104880	ARHGEF18	
Q86TP1	ENSG00000143363	PRUNE1	
Q9BRB3	ENSG00000007541	PIGQ	
Q496J9	ENSG00000122012	SV2C	
P25490	ENSG00000100811	YY1	
P0C5K6	ENSG00000259849	VENTXP1	
P51570	ENSG00000108479	GALK1	
Q8NHR7	ENSG00000167014	TERB2	
P47897	ENSG00000172053	QARS	
P40855	ENSG00000162735	PEX19	
Q6RW13	ENSG00000177674	AGTRAP	
Q9Y219	ENSG00000184916	JAG2	
O95972	ENSG00000130385	BMP15	
P55317	ENSG00000129514	FOXA1	
O14522	ENSG00000196090	PTPRT	
Q9UQ90	ENSG00000197912	SPG7	
Q8TD86	ENSG00000169885	CALML6	
Q9UK99	ENSG00000110429	FBXO3	
Q9Y3A2	ENSG00000183520	UTP11	
Q9UBE0	ENSG00000142230	SAE1	
Q96BP2	ENSG00000172586	CHCHD1	
Q6ZVZ8	ENSG00000182177	ASB18	
Q9H2J4	ENSG00000115539	PDCL3	
Q96AP7	ENSG00000149564	ESAM	
P53794	ENSG00000198743	SLC5A3	
Q9UPW5	ENSG00000135049	AGTPBP1	
Q7Z745	ENSG00000171495	MROH2B	
A0A0J9YWP8	-	TRBJ1-3	
Q9UPX8	ENSG00000162105	SHANK2	
Q93077	ENSG00000180573	HIST1H2AC	
Q6ZT21	ENSG00000188167	TMPPE	
Q9GZK7	ENSG00000234347; ENSG00000237258; ENSG00000232289; ENSG00000206517; ENSG00000230780; ENSG00000223898; ENSG00000204694; ENSG00000206472	OR11A1	
Q12791	ENSG00000156113	KCNMA1	
Q96LX7	ENSG00000159588	CCDC17	
P27144	ENSG00000162433	AK4	
Q6ZN04	ENSG00000183496	MEX3B	
Q9GZT8	ENSG00000196290	NIF3L1	
Q9UQC2	ENSG00000033327	GAB2	
P11464	ENSG00000231924	PSG1	
Q15722	ENSG00000213903; ENSG00000285456	LTB4R	
O76041	ENSG00000078114	NEBL	
O75602	ENSG00000077327	SPAG6	
Q9H8H2	ENSG00000125485	DDX31	
A5A3E0	ENSG00000196604	POTEF	
Q5VUE5	ENSG00000203724	C1orf53	
Q9H9D4	ENSG00000175213	ZNF408	
Q96NU7	ENSG00000139344	AMDHD1	
Q92764	ENSG00000197079	KRT35	
Q8NEY8	ENSG00000134283	PPHLN1	
Q4G148	ENSG00000151233	GXYLT1	
Q96IZ6	ENSG00000087995	METTL2A	
Q6NVV0	-	MKRN9P	
Q629K1	ENSG00000205133	TRIQK	
Q14112	ENSG00000087303	NID2	
P02788	ENSG00000012223	LTF	
Q15835	ENSG00000281988; ENSG00000185974	GRK1	
P05108	ENSG00000140459	CYP11A1	
Q8N143	ENSG00000161940	BCL6B	
P51161	ENSG00000170231	FABP6	
Q9NRD5	ENSG00000100151	PICK1	
Q86TY3	ENSG00000139971	ARMH4	
P40305	ENSG00000165949; ENSG00000275214	IFI27	
O43822	ENSG00000160226	CFAP410	
Q8TF46	ENSG00000166938	DIS3L	
Q96C34	ENSG00000198863	RUNDC1	
C9JTQ0	ENSG00000230778	ANKRD63	
Q9C0C9	ENSG00000175931	UBE2O	
O75935	ENSG00000137100	DCTN3	
P78560	ENSG00000169372	CRADD	
Q53H82	ENSG00000147592	LACTB2	
Q96KG7	ENSG00000145794	MEGF10	
Q8WZA1	ENSG00000085998	POMGNT1	
P47712	ENSG00000116711	PLA2G4A	
Q3B7I2	ENSG00000146910	CNPY1	
Q6ZQQ2	ENSG00000214929	SPATA31D1	
Q6EBC2	ENSG00000204671	IL31	
Q6PII3	ENSG00000154781	CCDC174	
P78383	ENSG00000121073	SLC35B1	
Q8N7X1	ENSG00000175718	RBMXL3	
Q96LI5	ENSG00000138767	CNOT6L	
A0AV96	ENSG00000163694	RBM47	
Q13536	ENSG00000125462	C1orf61	
Q96HY6	ENSG00000198171	DDRGK1	
Q8NEP9	ENSG00000186300	ZNF555	
Q401N2	ENSG00000186919	ZACN	
Q92845	ENSG00000075945	KIFAP3	
Q9UQ53	ENSG00000161013; ENSG00000284501	MGAT4B	
Q5JS37	ENSG00000188811	NHLRC3	
F8WBI6	ENSG00000232653; ENSG00000283589	GOLGA8N	
Q9UK32	ENSG00000072133	RPS6KA6	
Q6H3X3	ENSG00000203722	RAET1G	
Q5T655	ENSG00000120051	CFAP58	
Q96A23	ENSG00000196353	CPNE4	
Q8TE69	ENSG00000197620	CXorf40A	
P37058	ENSG00000130948	HSD17B3	
P04440	ENSG00000229295; ENSG00000230763; ENSG00000237710; ENSG00000226826; ENSG00000230708; ENSG00000236693; ENSG00000215048; ENSG00000223865	HLA-DPB1	
P01275	ENSG00000115263	GCG	
P60893	ENSG00000164604	GPR85	
Q9NYU1	ENSG00000102595	UGGT2	
Q5TFQ8	ENSG00000101307	SIRPB1	
Q53S33	ENSG00000163170	BOLA3	
Q6ZQY2	ENSG00000187905	LRRC74B	
P84022	ENSG00000166949	SMAD3	
P0CG12	ENSG00000286140; ENSG00000168802	CHTF8	
Q6ZMS4	ENSG00000178917; ENSG00000281626	ZNF852	
P59535	ENSG00000221937	TAS2R40	
A1L190	ENSG00000217442	SYCE3	
P55085	ENSG00000164251	F2RL1	
A0A0U1RRL7	ENSG00000126005	MMP24OS	
Q5JS13	ENSG00000136828	RALGPS1	
P09104	ENSG00000111674	ENO2	
Q5R3F8	ENSG00000166897	ELFN2	
Q5T619	ENSG00000179930	ZNF648	
O15212	ENSG00000224782; ENSG00000206283; ENSG00000235692; ENSG00000237335; ENSG00000204220	PFDN6	
Q8NAF0	ENSG00000218891	ZNF579	
Q7Z2R9	ENSG00000198711	SSBP3-AS1	
Q8NH57	-	OR52P1P	
Q9UHF1	ENSG00000172889	EGFL7	
Q9NP80	ENSG00000135241	PNPLA8	
P60153	ENSG00000188655	RNASE9	
P16278	ENSG00000170266	GLB1	
Q9Y2T3	ENSG00000119125	GDA	
P52741	ENSG00000213762	ZNF134	
Q93074	ENSG00000184634	MED12	
Q02383	ENSG00000124157	SEMG2	
O43602	ENSG00000077279	DCX	
P29279	ENSG00000118523	CTGF	
P60368	ENSG00000205445	KRTAP10-2	
O95373	ENSG00000205339	IPO7	
Q14184	ENSG00000272670; ENSG00000272636	DOC2B	
Q7L2R6	ENSG00000196417	ZNF765	
Q8IY51	ENSG00000169989	TIGD4	
Q6IQ20	ENSG00000161048; ENSG00000275723	NAPEPLD	
Q9UBP9	ENSG00000144366	GULP1	
Q9H0W8	ENSG00000105771	SMG9	
Q8N9L9	ENSG00000177465	ACOT4	
Q8IYM9	ENSG00000132274	TRIM22	
Q08E93	ENSG00000274026	FAM27E3	
Q96NG5	ENSG00000167785	ZNF558	
A4D2G3	ENSG00000221933; ENSG00000285496	OR2A25	
Q8WWC4	ENSG00000162972	MAIP1	
O60512	ENSG00000158850	B4GALT3	
Q5T200	ENSG00000123200	ZC3H13	
P34925	ENSG00000163785	RYK	
Q15691	ENSG00000101367	MAPRE1	
Q96FM1	ENSG00000161395	PGAP3	
O43251	ENSG00000100320; ENSG00000277564	RBFOX2	
Q7Z3V5	ENSG00000180479	ZNF571	
O95221	ENSG00000149133	OR5F1	
Q9BYN7	ENSG00000131061	ZNF341	
Q06547	ENSG00000104064	GABPB1	
Q8TAK5	ENSG00000143458	GABPB2	
P52803	ENSG00000184349	EFNA5	
Q96FJ2	ENSG00000264364	DYNLL2	
Q8WWZ1	ENSG00000136697	IL1F10	
Q6P5Q4	ENSG00000170807	LMOD2	
O15015	ENSG00000167395	ZNF646	
A6NMN3	ENSG00000172538	FAM170B	
A0JD37	-	TRDV3	
Q96NA8	ENSG00000171045	TSNARE1	
P57789	ENSG00000100433	KCNK10	
P16070	ENSG00000026508	CD44	
Q8TF27	ENSG00000271880	AGAP11	
Q075Z2	ENSG00000188334	BSPH1	
P31942	ENSG00000096746	HNRNPH3	
Q8NFY4	ENSG00000137872	SEMA6D	
Q6I9Y2	ENSG00000163634	THOC7	
Q3KNT7	ENSG00000223705	NSUN5P1	
Q5HYK9	ENSG00000198046	ZNF667	
P29120	ENSG00000175426	PCSK1	
Q6NT16	ENSG00000146409	SLC18B1	
Q6UXD5	ENSG00000174938	SEZ6L2	
P10589	ENSG00000175745	NR2F1	
A0A075B6T7	-	TRAV6	
P61619	ENSG00000058262	SEC61A1	
Q9BYG3	ENSG00000155438	NIFK	
P0C7T2	ENSG00000281489; ENSG00000227152; ENSG00000281395	OR2T7	
Q9BQI0	ENSG00000126878	AIF1L	
Q96AG4	ENSG00000108829	LRRC59	
Q9Y267	ENSG00000144671	SLC22A14	
Q16695	ENSG00000285435; ENSG00000168148	HIST3H3	
Q9NZH8	ENSG00000136688	IL36G	
Q9NVQ4	ENSG00000158234	FAIM	
Q9Y4X5	ENSG00000166233	ARIH1	
Q15648	ENSG00000125686	MED1	
Q5T6L9	ENSG00000130023; ENSG00000276187	ERMARD	
Q15195	ENSG00000125551	PLGLA	
Q96CD2	ENSG00000138621	PPCDC	
Q8WXI8	ENSG00000166527	CLEC4D	
Q9Y5U2	ENSG00000184281	TSSC4	
Q9BUB5	ENSG00000079277	MKNK1	
Q8IYS1	ENSG00000146281	PM20D2	
P22314	ENSG00000130985	UBA1	
P25098	ENSG00000173020	GRK2	
Q96M11	ENSG00000198331	HYLS1	
Q8N5S9	ENSG00000004660	CAMKK1	
P0DP58	ENSG00000180155; ENSG00000284505	LYNX1	
Q8WTU2	ENSG00000146700	SSC4D	
Q96LL4	ENSG00000164743	C8orf48	
Q5T2R2	ENSG00000148459	PDSS1	
P11487	ENSG00000186895	FGF3	
O43290	ENSG00000175467	SART1	
Q9NX63	ENSG00000106554	CHCHD3	
P98168	ENSG00000198205	ZXDA	
Q9Y689	ENSG00000162980	ARL5A	
P0CG08	ENSG00000188092; ENSG00000117262	GPR89B	
Q53G59	ENSG00000117153	KLHL12	
Q86VI1	ENSG00000179044	EXOC3L1	
Q9GZN6	ENSG00000063127	SLC6A16	
Q14563	ENSG00000075213	SEMA3A	
Q6ICB0	ENSG00000100418	DESI1	
Q96BZ9	ENSG00000125875	TBC1D20	
O95497	ENSG00000112299	VNN1	
P0C853	ENSG00000236939	BAALC-AS2	
P08034	ENSG00000169562	GJB1	
Q8NGK9	ENSG00000205029	OR5D16	
P48048	ENSG00000151704	KCNJ1	
Q5T2W1	ENSG00000174827	PDZK1	
Q96RP9	ENSG00000168827	GFM1	
Q8IYI0	ENSG00000171984	SHLD1	
P56159	ENSG00000151892	GFRA1	
Q9NS82	ENSG00000130876	SLC7A10	
Q8NC54	ENSG00000113583	KCT2	
P32971	ENSG00000106952	TNFSF8	
Q15884	ENSG00000135063	FAM189A2	
Q6ZNL6	ENSG00000154783	FGD5	
Q9NSU2	ENSG00000213689	TREX1	
Q86T13	ENSG00000176435	CLEC14A	
Q9H1A3	ENSG00000284548; ENSG00000197006	METTL9	
Q0VGE8	ENSG00000180257	ZNF816	
P30990	ENSG00000133636	NTS	
Q13489	ENSG00000023445	BIRC3	
Q6IFN5	ENSG00000237521	OR7E24	
Q9NZH4	ENSG00000213005	PTTG3P	
O95473	ENSG00000105467	SYNGR4	
Q96SK3	ENSG00000198182	ZNF607	
Q5QJ74	ENSG00000154114	TBCEL	
P58062	ENSG00000145879	SPINK7	
Q8NDY6	ENSG00000125533	BHLHE23	
Q9NQZ3	ENSG00000188120	DAZ1	
P13232	ENSG00000104432	IL7	
Q9NR81	ENSG00000163947	ARHGEF3	
Q9Y5Y2	ENSG00000095906	NUBP2	
Q16186	ENSG00000130706	ADRM1	
P07900	ENSG00000080824	HSP90AA1	
Q9Y5I4	ENSG00000243232	PCDHAC2	
Q8IYS2	ENSG00000116685	KIAA2013	
Q9UF56	ENSG00000145743	FBXL17	
Q8WYP3	ENSG00000132669	RIN2	
Q9H2L5	ENSG00000107551	RASSF4	
Q8N344	ENSG00000105556	MIER2	
P07093	ENSG00000135919	SERPINE2	
P29622	ENSG00000100665	SERPINA4	
Q9NWZ3	ENSG00000198001	IRAK4	
O15205	ENSG00000231968; ENSG00000206468; ENSG00000226898; ENSG00000224654; ENSG00000228913; ENSG00000206513; ENSG00000213886	UBD	
Q9BTT6	ENSG00000137269	LRRC1	
Q8N157	ENSG00000135541	AHI1	
Q2TAY7	ENSG00000122692	SMU1	
Q9NPI0	ENSG00000149483	TMEM138	
Q8N4H0	ENSG00000106686	SPATA6L	
Q4G0N8	ENSG00000172139; ENSG00000285044	SLC9C1	
D3DTV9	ENSG00000229637	PRAC2	
O94913	ENSG00000165494	PCF11	
Q969L2	ENSG00000147676	MAL2	
Q96NZ9	ENSG00000165828	PRAP1	
P18577	ENSG00000188672	RHCE	
Q5SZJ8	ENSG00000151917	BEND6	
Q99613	ENSG00000184110	EIF3C	
Q13129	ENSG00000117000	RLF	
Q86UV6	ENSG00000174353; ENSG00000155428	TRIM74	
P07451	ENSG00000164879	CA3	
A0A087WW87	-	IGKV2-40	
Q9H6D8	ENSG00000115226	FNDC4	
P62877	ENSG00000100387	RBX1	
P48050	ENSG00000168135	KCNJ4	
Q9NPF0	ENSG00000167775	CD320	
Q6NXT6	ENSG00000169762	TAPT1	
P08246	ENSG00000277571; ENSG00000197561	ELANE	
Q2M2I8	ENSG00000115977	AAK1	
A4D250	ENSG00000204960	BLACE	
Q969I6	ENSG00000139209	SLC38A4	
Q6PJ69	ENSG00000141569	TRIM65	
P09912	ENSG00000126709	IFI6	
Q9Y2V7	ENSG00000133103	COG6	
P0DMB2	ENSG00000253250	C8orf88	
P31941	ENSG00000262156; ENSG00000128383	APOBEC3A	
Q99626	ENSG00000165556	CDX2	
Q9H5Z1	ENSG00000101452	DHX35	
Q5RIA9	ENSG00000147996; ENSG00000196873	CBWD5	
Q92988	ENSG00000108813	DLX4	
Q9BQ52	ENSG00000006744	ELAC2	
A0A1B0GTU1	ENSG00000215817	ZC3H11B	
Q96QS1	ENSG00000064201	TSPAN32	
Q30KQ6	ENSG00000177684	DEFB114	
Q6NUM9	ENSG00000042445	RETSAT	
